# Puzzles from the Lichess puzzle database (CC0), chosen by python/puzzles.py.
# id<TAB>fen<TAB>moves (UCI; the first is the opponent's)<TAB>rating<TAB>themes
bs9nt	r4rk1/ppp2pp1/2P1p1b1/2b4p/4P2P/2P3n1/PP4BN/RNBR2K1 w - - 1 16	c1e3 c5e3	781	hangingPiece kingsideAttack mate mateIn1 middlegame
EOSaQ	8/5ppk/1p3q2/p1p5/8/P2r2PQ/1P2RPK1/8 b - - 6 38	h7g8 e2e8	782	endgame mate mateIn1
Cfiul	6k1/7p/2R3p1/2p3r1/2Kr4/P7/1PP4R/8 w - - 9 38	c4c3 g5g3	782	endgame mate mateIn1 rookEndgame
XtKsZ	1b2r1k1/pp4p1/2pqp2p/5p2/2Pr4/7P/PPB1QPP1/3RR1K1 w - - 4 23	d1d4 d6h2 g1f1 h2h1	782	kingsideAttack mate mateIn2 middlegame
TxWdN	6k1/pRp2ppp/6q1/8/2Pr1Pn1/2Qb2P1/P3r1BP/2K3R1 b - - 3 26	d4c4 b7b8 e2e8 b8e8	784	kingsideAttack mate mateIn2 middlegame
q4DuZ	r6r/p2k4/1pq1p1P1/3pPp2/P1nP1P1b/2B4P/1P2B3/1R1Q1KR1 w - - 1 29	b2b3 c4e3	785	mate mateIn1 middlegame
Rmw6e	r1b1k2r/pppp1ppp/4p3/2b5/4P1nq/1BNP1Q2/PPP2PPP/R1B2RK1 w kq - 1 9	g2g3 h4h2	786	kingsideAttack mate mateIn1 opening
BOyUH	r1b1r1k1/pp3ppp/1bn5/8/1P6/P2q1N2/1B1QBPPP/R3K2R b KQ - 3 17	b6f2 e1f2 d3d2 f3d2	787	hangingPiece middlegame
wcr9M	5rk1/2n2pp1/p2Rb2p/1q2P3/5P2/2N3Q1/2r3PP/2R4K w - - 0 27	c1c2 b5f1	787	mate mateIn1 middlegame
cZvhY	7k/p4R1p/5p2/3p1P2/1R6/4p3/P1r4r/6K1 b - - 1 26	h2d2 b4b8 c2c8 b8c8	787	endgame mate mateIn2 rookEndgame
bfzKw	r3k2r/pp1n1p1p/2p1pp2/5P2/3Pb1B1/2P3qP/PP4P1/R1BQ1R1K w kq - 1 18	c1f4 g3g2	788	kingsideAttack mate mateIn1 middlegame
FSGSp	5k1r/4qBp1/1p1nP2p/3p1N2/5Q2/8/2P1K1PP/8 b - - 2 30	d6f5 f4b8 e7d8 b8d8	789	endgame mate mateIn2
SRXWr	2r1rNk1/1pq2p1p/4pBp1/1p1p2Q1/P2n4/1P1BP3/5PPP/R4K1R w - - 0 22	g5h6 c7c1 a1c1 c8c1	789	mate mateIn2 middlegame sacrifice
2SXgS	Q5nk/pp4pp/3N4/4P3/5n2/8/P2q2bP/R5RK w - - 0 28	g1g2 d2g2	789	mate mateIn1 middlegame
kVF6T	r1b3k1/6pp/p1nq4/1pBNn3/1P6/8/P1P3PP/R2Q2K1 b - - 2 22	d6g6 d5e7 g8h8 e7g6	790	fork middlegame
ImnqY	r1b2rk1/pp4pp/4p3/1p5q/3Q1p2/8/PPPP1PPP/R1B1R1K1 w - - 0 17	e1e5 h5d1 e5e1 d1e1	790	kingsideAttack mate mateIn2 middlegame
4JhwU	6k1/2p1q3/1p1p2p1/pP1Pp1P1/1n2P3/1P2Q2B/1P1K4/8 b - - 0 27	e7f7 h3e6 g8g7 e6f7	792	endgame pin
L5OZh	r2r2k1/pp2qppp/2p1b3/2npP1N1/8/8/PPQB1PPP/R3R1K1 b - - 9 20	h7h6 c2h7 g8f8 h7h8	793	kingsideAttack mate mateIn2 middlegame
WpKdQ	1r3rk1/3R1ppp/p7/3B4/1P6/2n1P2P/5PP1/1R4K1 w - - 7 30	b1c1 c3e2 g1h2 e2c1	794	endgame fork
TNbx8	1r1q1b1r/p1p1k1p1/2B2BQ1/4n3/3pN3/7P/PPP5/R3K2R b KQ - 0 18	g7f6 g6f6	796	mate mateIn1 middlegame
vHYt4	r3r1k1/pp3ppp/8/3pq3/5b1B/2P4P/PPQ2PP1/R4RK1 w - - 0 19	f1e1 e5e1 a1e1 e8e1	796	kingsideAttack mate mateIn2 middlegame
SM1Bb	1k6/p4ppp/Q2Pp3/p2b2q1/8/3R4/1PP2P1P/2K5 w - - 3 28	c1b1 g5g1 d3d1 g1d1	796	endgame mate mateIn2
z9EPW	Q7/8/6pk/3K1p2/8/6P1/1p6/8 b - - 0 49	b2b1q a8h8 h6g5 h8h4	797	endgame mate mateIn2
y0aHl	r4rk1/1b2ppbp/p5p1/1p1qn3/8/P4N1P/1PPBB1P1/R2Q1RK1 w - - 0 16	f3e5 d5g2	798	kingsideAttack mate mateIn1 middlegame
oZZj9	rn5R/p2pkp2/1p2pp2/4N2p/4b3/P3P1P1/1P3P1P/3R2K1 w - - 1 19	e5d7 b8d7 h8a8 e4a8	798	endgame
Vzp6H	r1b2rk1/ppp2pp1/2nqp3/3n2NQ/3P4/8/PPP2PPP/R1B2RK1 b - - 3 13	f7f6 h5h7	799	mate mateIn1 opening
2xsfq	2kr3r/ppp2pp1/4p1qp/2Np2bN/3P4/1PP1PP2/P2nK1Q1/R6R w - - 0 22	e2d2 g5e3 d2e3 g6g2	800	discoveredAttack middlegame
IZYhG	2r5/5pkp/p4p2/8/1P6/P1p2P2/3r2PP/R2R2K1 w - - 0 29	d1d2 c3d2 a1d1 c8c1 g1f1 c1d1	803	advancedPawn endgame pin rookEndgame
5MBqG	4rk2/p2R3p/1pN2Bp1/5n2/8/2P2P2/Pn4PP/6K1 w - - 1 29	d7h7 e8e1 g1f2 b2d3	812	endgame mate mateIn2
SF56x	8/3b4/3p1k2/2pP3N/p1P1K3/2r5/6R1/8 b - - 0 55	f6f7 g2g7 f7f8 g7d7	812	endgame skewer
MSUNh	3r1rk1/pQ3pbp/6p1/4P3/8/1P3N2/P3NPPP/2q3K1 w - - 0 25	e2c1 d8d1 f3e1 d1e1	812	backRankMate endgame fork mate mateIn2
0zDgI	8/R5k1/6p1/2p5/2P2KP1/P1r5/2b2P2/8 b - - 2 40	g7h6 g4g5 h6h5 a7h7	813	endgame mate mateIn2
FSkN2	8/6R1/1r1p4/2nPkPp1/6P1/4PK2/8/8 b - - 2 54	c5e4 g7e7 e5d5 e7e4	814	endgame
CzR3N	1r4rk/1q2b1p1/p2pPpQN/8/PP6/4B3/6PP/1R4K1 b - - 0 25	g7h6 g6h6	815	mate mateIn1 middlegame
LhiT1	2k1r3/1pp2ppp/p7/8/3b4/1P3B2/PKPB3P/R7 w - - 2 19	d2c3 d4c3 b2c3 e8e3 c3d4 e3f3	818	attraction endgame fork
OEecq	2r3k1/pp1p1ppp/4p3/8/8/3PPQ2/PPq3PP/5RK1 b - - 1 21	c2b2 f3f7 g8h8 f7f8 c8f8 f1f8	819	backRankMate endgame mate mateIn3 sacrifice
pFRm1	r1bqkb1r/1p2p2p/p2ppn1p/8/3P3N/2N4P/PP2BPP1/R2QK2R b KQkq - 3 12	c8d7 e2h5 f6h5 d1h5	823	mate mateIn2 opening
q4lGy	R7/5pkp/1P1b2p1/4q3/8/4PB1P/5PP1/R5K1 w - - 3 30	a1b1 e5h2 g1f1 h2h1 f1e2 h1b1	827	endgame skewer
opv1w	8/1p1r3k/3r1qpp/Q2b1p2/3R4/1P2P1P1/P4P1P/3R2K1 b - - 1 33	d5c6 d4d6 f6d6 d1d6	827	middlegame
Wv9GL	2r2rk1/2q2p1p/2p3p1/p2p4/P7/2N4P/2P1BRPK/1R1Q1n2 w - - 1 26	h2g1 c7h2 g1f1 h2h1	829	kingsideAttack mate mateIn2 middlegame sacrifice
KwPNm	r2qr1k1/pp1n1pb1/2p1p1p1/3pP1N1/2PP1P2/BP5Q/P6P/R4RK1 b - - 2 18	d5c4 h3h7	831	mate mateIn1 middlegame
W76Rf	4k2r/4qp2/3p4/2pPpQ2/1p4Pp/1b1P1N2/1P4PP/rKR4R w k - 6 28	b1a1 e7a7 a1b1 a7a2	834	mate mateIn2 middlegame
tjPNy	r3k2r/pp1b1pp1/4pn1p/3p4/3q1P2/2NB4/PP1Q1PPP/R3R1K1 b kq - 3 14	e8g8 d3h7 f6h7 d2d4	835	discoveredAttack middlegame
VoXOe	r2k3r/ppp3pp/2q5/2b2p2/3p2Nn/3B3P/PPP2P1P/RNBQR2K w - - 2 16	h1g1 c6g2	840	mate mateIn1 middlegame
1VTar	3r1rk1/1p3p2/6R1/3pp1QP/1q6/8/8/6RK b - - 0 35	f7g6 g5g6 g8h8 g6h6	842	endgame mate mateIn2
